"entrezgene","external_gene_name","gene_biotype","description"
389658,"ALKAL1","protein_coding","ALK and LTK ligand 1 [Source:HGNC Symbol;Acc:HGNC:33775]"
3987,"LIMS1","protein_coding","LIM zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:6616]"
399947,"C11orf87","protein_coding","chromosome 11 open reading frame 87 [Source:HGNC Symbol;Acc:HGNC:33788]"
401207,"C5orf63","protein_coding","chromosome 5 open reading frame 63 [Source:HGNC Symbol;Acc:HGNC:40051]"
401548,"SNX30","protein_coding","sorting nexin family member 30 [Source:HGNC Symbol;Acc:HGNC:23685]"
404216,"LINC01561","lincRNA","long intergenic non-protein coding RNA 1561 [Source:HGNC Symbol;Acc:HGNC:31365]"
405,"ARNT","protein_coding","aryl hydrocarbon receptor nuclear translocator [Source:HGNC Symbol;Acc:HGNC:700]"
4128,"MAOA","protein_coding","monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]"
4191,"MDH2","protein_coding","malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]"
4205,"MEF2A","protein_coding","myocyte enhancer factor 2A [Source:HGNC Symbol;Acc:HGNC:6993]"
4323,"MMP14","protein_coding","matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]"
440026,"TMEM41B","protein_coding","transmembrane protein 41B [Source:HGNC Symbol;Acc:HGNC:28948]"
440590,"ZYG11A","protein_coding","zyg-11 family member A, cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:32058]"
4522,"MTHFD1","protein_coding","methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7432]"
4664,"NAB1","protein_coding","NGFI-A binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7626]"
4670,"HNRNPM","protein_coding","heterogeneous nuclear ribonucleoprotein M [Source:HGNC Symbol;Acc:HGNC:5046]"
4698,"NDUFA5","protein_coding","NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]"
4773,"NFATC2","protein_coding","nuclear factor of activated T cells 2 [Source:HGNC Symbol;Acc:HGNC:7776]"
4780,"NFE2L2","protein_coding","nuclear factor, erythroid 2 like 2 [Source:HGNC Symbol;Acc:HGNC:7782]"
4835,"NQO2","protein_coding","N-ribosyldihydronicotinamide:quinone reductase 2 [Source:HGNC Symbol;Acc:HGNC:7856]"
4848,"CNOT2","protein_coding","CCR4-NOT transcription complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:7878]"
4931,"NVL","protein_coding","nuclear VCP-like [Source:HGNC Symbol;Acc:HGNC:8070]"
4939,"OAS2","protein_coding","2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]"
51053,"GMNN","protein_coding","geminin, DNA replication inhibitor [Source:HGNC Symbol;Acc:HGNC:17493]"
51091,"SEPSECS","protein_coding","Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase [Source:HGNC Symbol;Acc:HGNC:30605]"
51105,"PHF20L1","protein_coding","PHD finger protein 20 like 1 [Source:HGNC Symbol;Acc:HGNC:24280]"
51174,"TUBD1","protein_coding","tubulin delta 1 [Source:HGNC Symbol;Acc:HGNC:16811]"
51247,"PAIP2","protein_coding","poly(A) binding protein interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:17970]"
51286,"CEND1","protein_coding","cell cycle exit and neuronal differentiation 1 [Source:HGNC Symbol;Acc:HGNC:24153]"
51320,"MEX3C","protein_coding","mex-3 RNA binding family member C [Source:HGNC Symbol;Acc:HGNC:28040]"
51559,"NT5DC3","protein_coding","5'-nucleotidase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30826]"
51582,"AZIN1","protein_coding","antizyme inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:16432]"
51744,"CD244","protein_coding","CD244 molecule [Source:HGNC Symbol;Acc:HGNC:18171]"
51763,"INPP5K","protein_coding","inositol polyphosphate-5-phosphatase K [Source:HGNC Symbol;Acc:HGNC:33882]"
5193,"PEX12","protein_coding","peroxisomal biogenesis factor 12 [Source:HGNC Symbol;Acc:HGNC:8854]"
5218,"CDK14","protein_coding","cyclin dependent kinase 14 [Source:HGNC Symbol;Acc:HGNC:8883]"
5411,"PNN","protein_coding","pinin, desmosome associated protein [Source:HGNC Symbol;Acc:HGNC:9162]"
54363,"HAO1","protein_coding","hydroxyacid oxidase 1 [Source:HGNC Symbol;Acc:HGNC:4809]"
54566,"EPB41L4B","protein_coding","erythrocyte membrane protein band 4.1 like 4B [Source:HGNC Symbol;Acc:HGNC:19818]"
54916,"TMEM260","protein_coding","transmembrane protein 260 [Source:HGNC Symbol;Acc:HGNC:20185]"
54952,"TRNAU1AP","protein_coding","tRNA selenocysteine 1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30813]"
5496,"PPM1G","protein_coding","protein phosphatase, Mg2+/Mn2+ dependent 1G [Source:HGNC Symbol;Acc:HGNC:9278]"
55066,"PDPR","protein_coding","pyruvate dehydrogenase phosphatase regulatory subunit [Source:HGNC Symbol;Acc:HGNC:30264]"
55272,"IMP3","protein_coding","IMP3, U3 small nucleolar ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:14497]"
55322,"C5orf22","protein_coding","chromosome 5 open reading frame 22 [Source:HGNC Symbol;Acc:HGNC:25639]"
55500,"ETNK1","protein_coding","ethanolamine kinase 1 [Source:HGNC Symbol;Acc:HGNC:24649]"
55510,"DDX43","protein_coding","DEAD-box helicase 43 [Source:HGNC Symbol;Acc:HGNC:18677]"
55668,"GPATCH2L","protein_coding","G-patch domain containing 2 like [Source:HGNC Symbol;Acc:HGNC:20210]"
55676,"SLC30A6","protein_coding","solute carrier family 30 member 6 [Source:HGNC Symbol;Acc:HGNC:19305]"
55707,"NECAP2","protein_coding","NECAP endocytosis associated 2 [Source:HGNC Symbol;Acc:HGNC:25528]"
55714,"TENM3","protein_coding","teneurin transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:29944]"
55884,"WSB2","protein_coding","WD repeat and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:19222]"
55973,"BCAP29","protein_coding","B cell receptor associated protein 29 [Source:HGNC Symbol;Acc:HGNC:24131]"
56667,"MUC13","protein_coding","mucin 13, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7511]"
5683,"PSMA2","protein_coding","proteasome subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9531]"
56910,"STARD7","protein_coding","StAR related lipid transfer domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18063]"
56944,"OLFML3","protein_coding","olfactomedin like 3 [Source:HGNC Symbol;Acc:HGNC:24956]"
57148,"RALGAPB","protein_coding","Ral GTPase activating protein non-catalytic beta subunit [Source:HGNC Symbol;Acc:HGNC:29221]"
574032,"MIR20B","miRNA","microRNA 20b [Source:HGNC Symbol;Acc:HGNC:32024]"
57556,"SEMA6A","protein_coding","semaphorin 6A [Source:HGNC Symbol;Acc:HGNC:10738]"
57563,"KLHL8","protein_coding","kelch like family member 8 [Source:HGNC Symbol;Acc:HGNC:18644]"
5782,"PTPN12","protein_coding","protein tyrosine phosphatase, non-receptor type 12 [Source:HGNC Symbol;Acc:HGNC:9645]"
5828,"PEX2","protein_coding","peroxisomal biogenesis factor 2 [Source:HGNC Symbol;Acc:HGNC:9717]"
5829,"PXN","protein_coding","paxillin [Source:HGNC Symbol;Acc:HGNC:9718]"
59271,"EVA1C","protein_coding","eva-1 homolog C [Source:HGNC Symbol;Acc:HGNC:13239]"
59339,"PLEKHA2","protein_coding","pleckstrin homology domain containing A2 [Source:HGNC Symbol;Acc:HGNC:14336]"
6160,"RPL31","protein_coding","ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]"
6314,"ATXN7","protein_coding","ataxin 7 [Source:HGNC Symbol;Acc:HGNC:10560]"
64327,"LMBR1","protein_coding","limb development membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:13243]"
644019,"CBWD6","protein_coding","COBW domain containing 6 [Source:HGNC Symbol;Acc:HGNC:31978]"
6529,"SLC6A1","protein_coding","solute carrier family 6 member 1 [Source:HGNC Symbol;Acc:HGNC:11042]"
6574,"SLC20A1","protein_coding","solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]"
66037,"BOLL","protein_coding","boule homolog, RNA binding protein [Source:HGNC Symbol;Acc:HGNC:14273]"
6633,"SNRPD2","protein_coding","small nuclear ribonucleoprotein D2 polypeptide [Source:HGNC Symbol;Acc:HGNC:11159]"
6648,"SOD2","protein_coding","superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]"
6648,"SOD2","protein_coding","superoxide dismutase 2 [Source:NCBI gene;Acc:6648]"
6660,"SOX5","protein_coding","SRY-box 5 [Source:HGNC Symbol;Acc:HGNC:11201]"
6683,"SPAST","protein_coding","spastin [Source:HGNC Symbol;Acc:HGNC:11233]"
6720,"SREBF1","protein_coding","sterol regulatory element binding transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11289]"
6764,"ST5","protein_coding","suppression of tumorigenicity 5 [Source:HGNC Symbol;Acc:HGNC:11350]"
6811,"STX5","protein_coding","syntaxin 5 [Source:HGNC Symbol;Acc:HGNC:11440]"
6857,"SYT1","protein_coding","synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:11509]"
6902,"TBCA","protein_coding","tubulin folding cofactor A [Source:HGNC Symbol;Acc:HGNC:11579]"
6934,"TCF7L2","protein_coding","transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]"
7105,"TSPAN6","protein_coding","tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]"
714,"C1QC","protein_coding","complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]"
7272,"TTK","protein_coding","TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401]"
730338,"AC011294.1","lincRNA",""
731,"C8A","protein_coding","complement C8 alpha chain [Source:HGNC Symbol;Acc:HGNC:1352]"
7439,"BEST1","protein_coding","bestrophin 1 [Source:HGNC Symbol;Acc:HGNC:12703]"
7490,"WT1","protein_coding","Wilms tumor 1 [Source:HGNC Symbol;Acc:HGNC:12796]"
754,"PTTG1IP","protein_coding","PTTG1 interacting protein [Source:HGNC Symbol;Acc:HGNC:13524]"
7692,"ZNF133","protein_coding","zinc finger protein 133 [Source:HGNC Symbol;Acc:HGNC:12917]"
7709,"ZBTB17","protein_coding","zinc finger and BTB domain containing 17 [Source:HGNC Symbol;Acc:HGNC:12936]"
7884,"SLBP","protein_coding","stem-loop binding protein [Source:HGNC Symbol;Acc:HGNC:10904]"
79003,"MIS12","protein_coding","MIS12, kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:24967]"
79157,"MFSD11","protein_coding","major facilitator superfamily domain containing 11 [Source:HGNC Symbol;Acc:HGNC:25458]"
79611,"ACSS3","protein_coding","acyl-CoA synthetase short chain family member 3 [Source:HGNC Symbol;Acc:HGNC:24723]"
79621,"RNASEH2B","protein_coding","ribonuclease H2 subunit B [Source:HGNC Symbol;Acc:HGNC:25671]"
79632,"FAM184A","protein_coding","family with sequence similarity 184 member A [Source:HGNC Symbol;Acc:HGNC:20991]"
79685,"SAP30L","protein_coding","SAP30 like [Source:HGNC Symbol;Acc:HGNC:25663]"
79694,"MANEA","protein_coding","mannosidase endo-alpha [Source:HGNC Symbol;Acc:HGNC:21072]"
79896,"THNSL1","protein_coding","threonine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26160]"
80304,"WDCP","protein_coding","WD repeat and coiled coil containing [Source:HGNC Symbol;Acc:HGNC:26157]"
80319,"CXXC4","protein_coding","CXXC finger protein 4 [Source:HGNC Symbol;Acc:HGNC:24593]"
8140,"SLC7A5","protein_coding","solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]"
81555,"YIPF5","protein_coding","Yip1 domain family member 5 [Source:HGNC Symbol;Acc:HGNC:24877]"
81888,"HYI","protein_coding","hydroxypyruvate isomerase (putative) [Source:HGNC Symbol;Acc:HGNC:26948]"
81894,"SLC25A28","protein_coding","solute carrier family 25 member 28 [Source:HGNC Symbol;Acc:HGNC:23472]"
8200,"GDF5","protein_coding","growth differentiation factor 5 [Source:HGNC Symbol;Acc:HGNC:4220]"
8242,"KDM5C","protein_coding","lysine demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]"
8289,"ARID1A","protein_coding","AT-rich interaction domain 1A [Source:HGNC Symbol;Acc:HGNC:11110]"
840,"CASP7","protein_coding","caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]"
84146,"ZNF644","protein_coding","zinc finger protein 644 [Source:HGNC Symbol;Acc:HGNC:29222]"
84190,"METTL25","protein_coding","methyltransferase like 25 [Source:HGNC Symbol;Acc:HGNC:26228]"
84249,"PSD2","protein_coding","pleckstrin and Sec7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19092]"
84679,"SLC9A7","protein_coding","solute carrier family 9 member A7 [Source:HGNC Symbol;Acc:HGNC:17123]"
84747,"UNC119B","protein_coding","unc-119 lipid binding chaperone B [Source:HGNC Symbol;Acc:HGNC:16488]"
84868,"HAVCR2","protein_coding","hepatitis A virus cellular receptor 2 [Source:HGNC Symbol;Acc:HGNC:18437]"
84916,"UTP4","protein_coding","UTP4, small subunit processome component [Source:HGNC Symbol;Acc:HGNC:1983]"
8492,"PRSS12","protein_coding","serine protease 12 [Source:HGNC Symbol;Acc:HGNC:9477]"
85453,"TSPYL5","protein_coding","TSPY like 5 [Source:HGNC Symbol;Acc:HGNC:29367]"
8577,"TMEFF1","protein_coding","transmembrane protein with EGF like and two follistatin like domains 1 [Source:HGNC Symbol;Acc:HGNC:11866]"
8578,"SCARF1","protein_coding","scavenger receptor class F member 1 [Source:HGNC Symbol;Acc:HGNC:16820]"
8602,"NOP14","protein_coding","NOP14 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:16821]"
8682,"PEA15","protein_coding","proliferation and apoptosis adaptor protein 15 [Source:HGNC Symbol;Acc:HGNC:8822]"
8798,"DYRK4","protein_coding","dual specificity tyrosine phosphorylation regulated kinase 4 [Source:HGNC Symbol;Acc:HGNC:3095]"
8899,"PRPF4B","protein_coding","pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]"
892,"CCNC","protein_coding","cyclin C [Source:HGNC Symbol;Acc:HGNC:1581]"
8935,"SKAP2","protein_coding","src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]"
89795,"NAV3","protein_coding","neuron navigator 3 [Source:HGNC Symbol;Acc:HGNC:15998]"
900,"CCNG1","protein_coding","cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592]"
9052,"GPRC5A","protein_coding","G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]"
91057,"CCDC34","protein_coding","coiled-coil domain containing 34 [Source:HGNC Symbol;Acc:HGNC:25079]"
9208,"LRRFIP1","protein_coding","LRR binding FLII interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6702]"
9215,"LARGE1","protein_coding","LARGE xylosyl- and glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:6511]"
933,"CD22","protein_coding","CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643]"
9364,"RAB28","protein_coding","RAB28, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9768]"
9416,"DDX23","protein_coding","DEAD-box helicase 23 [Source:HGNC Symbol;Acc:HGNC:17347]"
9459,"ARHGEF6","protein_coding","Rac/Cdc42 guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:685]"
9575,"CLOCK","protein_coding","clock circadian regulator [Source:HGNC Symbol;Acc:HGNC:2082]"
9611,"NCOR1","protein_coding","nuclear receptor corepressor 1 [Source:HGNC Symbol;Acc:HGNC:7672]"
9743,"ARHGAP32","protein_coding","Rho GTPase activating protein 32 [Source:HGNC Symbol;Acc:HGNC:17399]"
9762,"LZTS3","protein_coding","leucine zipper tumor suppressor family member 3 [Source:HGNC Symbol;Acc:HGNC:30139]"
9833,"MELK","protein_coding","maternal embryonic leucine zipper kinase [Source:HGNC Symbol;Acc:HGNC:16870]"
9877,"ZC3H11A","protein_coding","zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:HGNC:29093]"
9923,"ZBTB40","protein_coding","zinc finger and BTB domain containing 40 [Source:HGNC Symbol;Acc:HGNC:29045]"
10001,"MED6","protein_coding","mediator complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:19970]"
100533106,"ZHX1-C8orf76","protein_coding","ZHX1-C8orf76 readthrough [Source:HGNC Symbol;Acc:HGNC:42975]"
10142,"AKAP9","protein_coding","A-kinase anchoring protein 9 [Source:HGNC Symbol;Acc:HGNC:379]"
1022,"CDK7","protein_coding","cyclin dependent kinase 7 [Source:HGNC Symbol;Acc:HGNC:1778]"
10370,"CITED2","protein_coding","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]"
10424,"PGRMC2","protein_coding","progesterone receptor membrane component 2 [Source:HGNC Symbol;Acc:HGNC:16089]"
10714,"POLD3","protein_coding","DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]"
10765,"KDM5B","protein_coding","lysine demethylase 5B [Source:HGNC Symbol;Acc:HGNC:18039]"
10785,"WDR4","protein_coding","WD repeat domain 4 [Source:HGNC Symbol;Acc:HGNC:12756]"
10808,"HSPH1","protein_coding","heat shock protein family H (Hsp110) member 1 [Source:HGNC Symbol;Acc:HGNC:16969]"
10888,"GPR83","protein_coding","G protein-coupled receptor 83 [Source:HGNC Symbol;Acc:HGNC:4523]"
10957,"PNRC1","protein_coding","proline rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]"
10959,"TMED2","protein_coding","transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]"
10964,"IFI44L","protein_coding","interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]"
11075,"STMN2","protein_coding","stathmin 2 [Source:HGNC Symbol;Acc:HGNC:10577]"
11076,"TPPP","protein_coding","tubulin polymerization promoting protein [Source:HGNC Symbol;Acc:HGNC:24164]"
11154,"AP4S1","protein_coding","adaptor related protein complex 4 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:575]"
114885,"OSBPL11","protein_coding","oxysterol binding protein like 11 [Source:HGNC Symbol;Acc:HGNC:16397]"
115294,"PCMTD1","protein_coding","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30483]"
115761,"ARL11","protein_coding","ADP ribosylation factor like GTPase 11 [Source:HGNC Symbol;Acc:HGNC:24046]"
116,"ADCYAP1","protein_coding","adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]"
116064,"LRRC58","protein_coding","leucine rich repeat containing 58 [Source:HGNC Symbol;Acc:HGNC:26968]"
120224,"TMEM45B","protein_coding","transmembrane protein 45B [Source:HGNC Symbol;Acc:HGNC:25194]"
124491,"TMEM170A","protein_coding","transmembrane protein 170A [Source:HGNC Symbol;Acc:HGNC:29577]"
124565,"SLC38A10","protein_coding","solute carrier family 38 member 10 [Source:HGNC Symbol;Acc:HGNC:28237]"
1281,"COL3A1","protein_coding","collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]"
1303,"COL12A1","protein_coding","collagen type XII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2188]"
130507,"UBR3","protein_coding","ubiquitin protein ligase E3 component n-recognin 3 [Source:HGNC Symbol;Acc:HGNC:30467]"
133418,"EMB","protein_coding","embigin [Source:HGNC Symbol;Acc:HGNC:30465]"
134553,"C5orf24","protein_coding","chromosome 5 open reading frame 24 [Source:HGNC Symbol;Acc:HGNC:26746]"
136319,"MTPN","protein_coding","myotrophin [Source:HGNC Symbol;Acc:HGNC:15667]"
138046,"RALYL","protein_coding","RALY RNA binding protein like [Source:HGNC Symbol;Acc:HGNC:27036]"
140739,"UBE2F","protein_coding","ubiquitin conjugating enzyme E2 F (putative) [Source:HGNC Symbol;Acc:HGNC:12480]"
145773,"FAM81A","protein_coding","family with sequence similarity 81 member A [Source:HGNC Symbol;Acc:HGNC:28379]"
146722,"CD300LF","protein_coding","CD300 molecule like family member f [Source:HGNC Symbol;Acc:HGNC:29883]"
150165,"XKR3","protein_coding","XK related 3 [Source:HGNC Symbol;Acc:HGNC:28778]"
150472,"CBWD2","protein_coding","COBW domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17907]"
151188,"ARL6IP6","protein_coding","ADP ribosylation factor like GTPase 6 interacting protein 6 [Source:HGNC Symbol;Acc:HGNC:24048]"
152404,"IGSF11","protein_coding","immunoglobulin superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:16669]"
1525,"CXADR","protein_coding","CXADR, Ig-like cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:2559]"
152926,"PPM1K","protein_coding","protein phosphatase, Mg2+/Mn2+ dependent 1K [Source:HGNC Symbol;Acc:HGNC:25415]"
157,"GRK3","protein_coding","G protein-coupled receptor kinase 3 [Source:HGNC Symbol;Acc:HGNC:290]"
157567,"ANKRD46","protein_coding","ankyrin repeat domain 46 [Source:HGNC Symbol;Acc:HGNC:27229]"
157724,"SLC7A13","protein_coding","solute carrier family 7 member 13 [Source:HGNC Symbol;Acc:HGNC:23092]"
158234,"TRMT10B","protein_coding","tRNA methyltransferase 10B [Source:HGNC Symbol;Acc:HGNC:26454]"
158586,"ZXDB","protein_coding","zinc finger X-linked duplicated B [Source:HGNC Symbol;Acc:HGNC:13199]"
1605,"DAG1","protein_coding","dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]"
165055,"CCDC138","protein_coding","coiled-coil domain containing 138 [Source:HGNC Symbol;Acc:HGNC:26531]"
168507,"PKD1L1","protein_coding","polycystin 1 like 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:18053]"
168667,"BMPER","protein_coding","BMP binding endothelial regulator [Source:HGNC Symbol;Acc:HGNC:24154]"
169355,"IDO2","protein_coding","indoleamine 2,3-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:27269]"
1791,"DNTT","protein_coding","DNA nucleotidylexotransferase [Source:HGNC Symbol;Acc:HGNC:2983]"
1826,"DSCAM","protein_coding","DS cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:3039]"
1827,"RCAN1","protein_coding","regulator of calcineurin 1 [Source:HGNC Symbol;Acc:HGNC:3040]"
1958,"EGR1","protein_coding","early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]"
2169,"FABP2","protein_coding","fatty acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3556]"
2177,"FANCD2","protein_coding","FA complementation group D2 [Source:HGNC Symbol;Acc:HGNC:3585]"
221178,"SPATA13","protein_coding","spermatogenesis associated 13 [Source:HGNC Symbol;Acc:HGNC:23222]"
221178,"SPATA13","lincRNA","spermatogenesis associated 13 [Source:NCBI gene;Acc:221178]"
2230,"FDX1","protein_coding","ferredoxin 1 [Source:HGNC Symbol;Acc:HGNC:3638]"
223082,"ZNRF2","protein_coding","zinc and ring finger 2 [Source:HGNC Symbol;Acc:HGNC:22316]"
2242,"FES","protein_coding","FES proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3657]"
2246,"FGF1","protein_coding","fibroblast growth factor 1 [Source:HGNC Symbol;Acc:HGNC:3665]"
22803,"XRN2","protein_coding","5'-3' exoribonuclease 2 [Source:HGNC Symbol;Acc:HGNC:12836]"
22854,"NTNG1","protein_coding","netrin G1 [Source:HGNC Symbol;Acc:HGNC:23319]"
23065,"EMC1","protein_coding","ER membrane protein complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28957]"
23082,"PPRC1","protein_coding","peroxisome proliferator-activated receptor gamma, coactivator-related 1 [Source:HGNC Symbol;Acc:HGNC:30025]"
23136,"EPB41L3","protein_coding","erythrocyte membrane protein band 4.1 like 3 [Source:HGNC Symbol;Acc:HGNC:3380]"
23607,"CD2AP","protein_coding","CD2 associated protein [Source:HGNC Symbol;Acc:HGNC:14258]"
252969,"NEIL2","protein_coding","nei like DNA glycosylase 2 [Source:HGNC Symbol;Acc:HGNC:18956]"
253935,"ANGPTL5","protein_coding","angiopoietin like 5 [Source:HGNC Symbol;Acc:HGNC:19705]"
2565,"GABRG1","protein_coding","gamma-aminobutyric acid type A receptor gamma1 subunit [Source:HGNC Symbol;Acc:HGNC:4086]"
257218,"SHPRH","protein_coding","SNF2 histone linker PHD RING helicase [Source:HGNC Symbol;Acc:HGNC:19336]"
2581,"GALC","protein_coding","galactosylceramidase [Source:HGNC Symbol;Acc:HGNC:4115]"
259217,"HSPA12A","protein_coding","heat shock protein family A (Hsp70) member 12A [Source:HGNC Symbol;Acc:HGNC:19022]"
25928,"SOSTDC1","protein_coding","sclerostin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21748]"
26012,"NSMF","protein_coding","NMDA receptor synaptonuclear signaling and neuronal migration factor [Source:HGNC Symbol;Acc:HGNC:29843]"
26045,"LRRTM2","protein_coding","leucine rich repeat transmembrane neuronal 2 [Source:HGNC Symbol;Acc:HGNC:19409]"
26057,"ANKRD17","protein_coding","ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:23575]"
26061,"HACL1","protein_coding","2-hydroxyacyl-CoA lyase 1 [Source:HGNC Symbol;Acc:HGNC:17856]"
26146,"TRAF3IP1","protein_coding","TRAF3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17861]"
26157,"GIMAP2","protein_coding","GTPase, IMAP family member 2 [Source:HGNC Symbol;Acc:HGNC:21789]"
2624,"GATA2","protein_coding","GATA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4171]"
26258,"BLOC1S6","protein_coding","biogenesis of lysosomal organelles complex 1 subunit 6 [Source:HGNC Symbol;Acc:HGNC:8549]"
2651,"GCNT2","protein_coding","glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]"
2690,"GHR","protein_coding","growth hormone receptor [Source:HGNC Symbol;Acc:HGNC:4263]"
2695,"GIP","protein_coding","gastric inhibitory polypeptide [Source:HGNC Symbol;Acc:HGNC:4270]"
27010,"TPK1","protein_coding","thiamin pyrophosphokinase 1 [Source:HGNC Symbol;Acc:HGNC:17358]"
27101,"CACYBP","protein_coding","calcyclin binding protein [Source:HGNC Symbol;Acc:HGNC:30423]"
27115,"PDE7B","protein_coding","phosphodiesterase 7B [Source:HGNC Symbol;Acc:HGNC:8792]"
2743,"GLRB","protein_coding","glycine receptor beta [Source:HGNC Symbol;Acc:HGNC:4329]"
2768,"GNA12","protein_coding","G protein subunit alpha 12 [Source:HGNC Symbol;Acc:HGNC:4380]"
282809,"POC1B","protein_coding","POC1 centriolar protein B [Source:HGNC Symbol;Acc:HGNC:30836]"
283471,"TMPRSS12","protein_coding","transmembrane serine protease 12 [Source:HGNC Symbol;Acc:HGNC:28779]"
285966,"TCAF2","protein_coding","TRPM8 channel associated factor 2 [Source:HGNC Symbol;Acc:HGNC:26878]"
286148,"DPY19L4","protein_coding","dpy-19 like 4 [Source:HGNC Symbol;Acc:HGNC:27829]"
286451,"YIPF6","protein_coding","Yip1 domain family member 6 [Source:HGNC Symbol;Acc:HGNC:28304]"
2891,"GRIA2","protein_coding","glutamate ionotropic receptor AMPA type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4572]"
